"logFC","logCPM","LR","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-8.94057876233072,10.2642970852441,24.8978949797924,6.04483933121393e-07,0.000437796454946584,"110308","Krt5","keratin 5"
-8.6365032223832,5.74978133266069,24.8003763800556,6.35850523919934e-07,0.000437796454946584,"50916","Irx4","Iroquois homeobox 4"
-8.36224663950047,6.79478831198176,24.6852666807512,6.7498207162384e-07,0.000437796454946584,"12293","Cacna2d1","calcium channel, voltage-dependent, alpha2/delta subunit 1"
-8.41943284143996,6.12437708728207,24.4153253957127,7.76485344952113e-07,0.000437796454946584,"56069","Il17b","interleukin 17B"
-9.29069096050996,6.75716309688132,24.3250658843966,8.137324785286e-07,0.000437796454946584,"24117","Wif1","Wnt inhibitory factor 1"
-8.21679049711258,8.17224719541298,24.2423328572084,8.49445526007491e-07,0.000437796454946584,"12818","Col14a1","collagen, type XIV, alpha 1"
-8.03471153645233,7.25537036412676,24.1698732949563,8.82012744779942e-07,0.000437796454946584,"22061","Trp63","transformation related protein 63"
-9.00141941212781,9.91079514975853,24.1285397975272,9.01148060115234e-07,0.000437796454946584,"12797","Cnn1","calponin 1"
-7.69702190662198,10.8096288076721,24.0692637641994,9.29318773070289e-07,0.000437796454946584,"50706","Postn","periostin, osteoblast specific factor"
-8.1674511226184,5.21592064772035,24.0352779430594,9.45866990661147e-07,0.000437796454946584,"237979","Sdk2","sidekick cell adhesion molecule 2"
-8.23078753560467,5.93310856331178,23.9450679978908,9.91238998624055e-07,0.000437796454946584,"17540","Irag1","inositol 1,4,5-triphosphate receptor associated 1"
-7.90363686649879,5.86679923039447,23.9344707225084,9.96710291871636e-07,0.000437796454946584,"54216","Pcdh7","protocadherin 7"
-8.80174566742358,4.78397398736132,23.8362256947285,1.04889760579768e-06,0.000437796454946584,"226922","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5"
-8.8756989471516,12.6133241617299,23.7863363898442,1.07643890487431e-06,0.000437796454946584,"11475","Acta2","actin alpha 2, smooth muscle, aorta"
